country,condition,scenario,dalys_rate_2025,dalys_rate_2050,dalys_percent_change_2025_2050
IND,Diabetes,Combined,1202.6359647401346,521.981886548632,-56.59685043084324
IND,Diabetes,Improved Behavioral And Metabolic Risks,1209.1515901909274,518.0641355839656,-57.154740581190296
IND,Diabetes,Improved Childhood Nutrition And Vaccination,1390.916295520661,2271.716255914988,63.32515933783187
IND,Diabetes,Reference,1390.9301800921398,2272.336211144314,63.36810025890637
IND,Diabetes,Safer Environment,1383.266103822725,2279.208702857151,64.77008267306225
