country,condition,year,DALYS_RATE,DEATHS_RATE,INCIDENCE_RATE,PREVALENCE_RATE,YLDS_RATE,GDP_PC,POVERTY_HEADCOUNT,HEALTH_EXP_GDP,OOP_HEALTH_EXP,SECONDARY_ENROL,URBAN_POP,INTERNET_USERS,POP_65PLUS,LIBDEM
IND,Diabetes,1990,949.4059830962728,26.559467179751454,202.43191686944,4429.81604876991,345.62809916416,371.085936203765,,,,,25.5784017345035,0.0,4.03787048090769,0.54
IND,Diabetes,1991,960.7698707949176,26.680583581457434,202.8890334647,4428.28973039217,354.92809284371,305.574055928592,,,,,25.7797610905819,,4.05841411442611,0.561
IND,Diabetes,1992,971.1640719809462,26.796212239167513,203.66353378949003,4458.347036752551,364.41294200287,319.182472626315,,,,,25.9808576702657,0.000111,4.08340620224614,0.572
IND,Diabetes,1993,973.6497434446452,26.53477103194783,204.70250394722,4503.289643534969,372.85634133275,302.884806246174,45.3,,,44.8495216369629,26.1767814681192,0.000218,4.11248290182939,0.576
IND,Diabetes,1994,980.4842198485968,26.66519862904033,205.95295590724,4546.53560571093,379.05493969541,347.73421473994,,,,45.1687202453613,26.3710188638872,0.00107,4.14618925499594,0.582
IND,Diabetes,1995,994.2568115359604,27.40177729742318,207.3612578797,4571.54848018535,382.13150765364,375.17600537305,,,,44.9552116394043,26.5661772139368,0.0262,4.18355923613031,0.582
IND,Diabetes,1996,1008.244660580342,27.849310505467372,211.94842263774,4669.5649714395995,387.09586870545,401.046754673579,,,,44.8827896118164,26.7648638746349,0.0463,4.22377976579751,0.588
IND,Diabetes,1997,1028.3340912256888,28.13966722460023,220.93250758929,4892.47868277076,397.41090298209,416.228116203753,,,,45.3552589416504,26.9696862023486,0.0708,4.26698407588542,0.591
IND,Diabetes,1998,1044.351545281439,28.171119595595023,231.53446888173997,5164.40524445948,409.81040632998,413.630864056851,,,,,27.1832515534447,0.139,4.31287577856306,0.593
IND,Diabetes,1999,1035.934383705806,27.02047656975002,240.95109156783,5408.81741707942,420.76054350087,441.927991436397,,,,42.9011917114258,27.4081672842903,0.273,4.36123081288453,0.586
IND,Diabetes,2000,1031.960843604122,26.49505993119596,246.36010445812,5548.5678232008,426.61039701663,442.750218937263,,4.10568476,71.70202637,47.1734390258789,27.6470407512523,0.527532449930946,4.41058746962383,0.584
IND,Diabetes,2001,1032.7782284196626,26.625839644143163,248.56962244310003,5596.0454137339,427.3746985376801,450.357900514128,,4.33754253,74.1062088,46.8245811462402,27.9028652096636,0.660146377009928,4.46128426322486,0.584
IND,Diabetes,2002,1033.5159557616205,26.90369463116688,250.46466142662,5623.49290604389,426.5131102374499,469.149928973927,,4.31453371,73.3739624,48.8069381713867,28.1756878910456,1.53787558175083,4.51627622226394,0.587
IND,Diabetes,2003,1038.908057509684,27.51844232128308,252.32612426076,5642.834565252399,425.25991882504,544.143133545002,,4.07877731,73.42475128,51.4255714416504,28.4660287698,1.68648997063625,4.57336676437993,0.583
IND,Diabetes,2004,1036.0542013065428,27.75924276870119,254.43371456536,5666.03255103914,425.1304065309,624.258826510066,37.2,4.02679491,72.48267365,53.247371673584,28.7726067228528,1.97613649190559,4.62602267494844,0.578
IND,Diabetes,2005,1043.8744284224704,28.28906322615335,257.06397856601,5704.88231997948,427.27312446809,710.488080408949,,3.85508275,73.14936829,55.9314002990723,29.0945497159107,2.388099909,4.67467509912271,0.573
IND,Diabetes,2006,1083.922844538393,30.18959115621732,260.53564596573,5772.2036884955505,433.1530997238,801.668353659022,,3.66901541,72.25708008,56.7859497070312,29.4309857146804,2.80549986534254,4.72189908061262,0.569
IND,Diabetes,2007,1129.5908944872983,32.12262417728798,264.88006124656,5867.6353332311,442.62985333216994,1021.88707706826,,3.58103991,70.81672668,59.1478385925293,29.7810426848684,3.95,4.7700034284851,0.569
