year,DALYS_RATE,DEATHS_RATE,INCIDENCE_RATE,PREVALENCE_RATE,YLDS_RATE
1990,949.4059830962728,26.559467179751454,202.43191686944,4429.81604876991,345.62809916416
1991,960.7698707949176,26.680583581457434,202.8890334647,4428.28973039217,354.92809284371
1992,971.1640719809462,26.796212239167513,203.66353378949003,4458.347036752551,364.41294200287
1993,973.6497434446452,26.53477103194783,204.70250394722,4503.289643534969,372.85634133275
1994,980.4842198485968,26.66519862904033,205.95295590724,4546.53560571093,379.05493969541
1995,994.2568115359604,27.40177729742318,207.3612578797,4571.54848018535,382.13150765364
1996,1008.244660580342,27.849310505467372,211.94842263774,4669.5649714395995,387.09586870545
1997,1028.3340912256888,28.13966722460023,220.93250758929,4892.47868277076,397.41090298209
1998,1044.351545281439,28.171119595595023,231.53446888173997,5164.40524445948,409.81040632998
1999,1035.934383705806,27.02047656975002,240.95109156783,5408.81741707942,420.76054350087
2000,1031.960843604122,26.49505993119596,246.36010445812,5548.5678232008,426.61039701663
2001,1032.7782284196626,26.625839644143163,248.56962244310003,5596.0454137339,427.3746985376801
2002,1033.5159557616205,26.90369463116688,250.46466142662,5623.49290604389,426.5131102374499
2003,1038.908057509684,27.51844232128308,252.32612426076,5642.834565252399,425.25991882504
2004,1036.0542013065428,27.75924276870119,254.43371456536,5666.03255103914,425.1304065309
2005,1043.8744284224704,28.28906322615335,257.06397856601,5704.88231997948,427.27312446809
2006,1083.922844538393,30.18959115621732,260.53564596573,5772.2036884955505,433.1530997238
2007,1129.5908944872983,32.12262417728798,264.88006124656,5867.6353332311,442.62985333216994
2008,1162.025029428333,33.070346800789395,269.9482362735,5983.10656700979,454.50110338332
2009,1189.91671797025,33.38601911390411,275.59242807645,6110.57835928097,467.93394693662
2010,1223.313462312291,34.077983321468096,281.66312864226,6241.9253443937405,481.83267295638007
2011,1254.929197924093,34.64835894808182,289.82343477911,6418.807298970861,501.14498134566
2012,1289.454025470375,35.373700578298404,300.62670071911003,6656.256678419941,527.88249790406
2013,1348.863784162536,37.90881792193796,312.27746169042996,6906.83666358787,555.99164806078
2014,1398.6090794782842,39.99090645798521,322.97804386369995,7123.1775110277795,579.60715944366
2015,1442.5265020558354,41.35602542147998,330.93339290388997,7258.026240136071,592.81298102252
2016,1470.2574405166768,42.03378363014019,336.76265355967996,7356.760097037251,598.64645414787
2017,1513.532959385887,43.59238149003433,342.19557827716,7479.46116243083,604.04906744602
2018,1549.5849510302337,44.839030947715536,347.10802072836003,7601.349835858261,608.54801267943
2019,1599.3442294749732,47.13681179586815,351.37265600762,7697.58337888308,611.53740877894
2020,1643.8891446411158,49.00201999264434,354.85923764088,7742.82700756053,611.30575445953
2021,1744.9727839931998,51.7353334853566,355.13983162845,7666.000944753209,605.20075323427
2022,1744.6937889937224,54.62469429219988,354.32480298896,7593.56022568915,600.72730573135
2023,1710.8333695165074,52.64329858305354,356.86485520824,7693.918516026551,608.80363060181
